# Downloaded from http://www.nature.com/nature/journal/v425/n6959/suppinfo/nature02046.html
# Ghaemmaghami et al. Nature 2003
#ORF	Observed Expression	Protein Molecules/Cell	Standard Deviation	CEC	Spurious
orf	method	abund	sd.abund	cec	spurious
YDR341C	TAP	20601	5.33E+03	0.86	0
YDR342C	TAP	7352	NA	0.58	0
YDR343C	GFP	NA	NA	0.58	0
YDR344C	GFP	NA	NA	0.03	0
YDR345C	Both	37206	NA	0.56	0
YDR346C	Both	45225	NA	0.85	0
YDR347W	Both	2836	NA	0.55	0
YDR348C	Both	1485	NA	0.68	0
YDR349C	Both	149	NA	0.54	0
YDR350C	GFP	NA	NA	0.44	0
YDR351W	None	NA	NA	0.59	0
YDR352W	Both	6348	NA	0.48	0
YDR353W	Both	292122	NA	0.72	0
YDR354W	Both	1759	NA	0.58	0
YDR355C	None	NA	NA	0.02	1
YDR356W	Both	279	NA	0.7	0
YDR357C	Both	589	NA	0.68	0
YDR358W	Both	656	NA	0.84	0
YDR359C	None	NA	NA	0.72	0
YDR360W	None	NA	NA	-0.01	1
YDR361C	Both	4590	NA	0.78	0
YDR362C	Both	1125	3.46E+02	0.61	0
YDR363W	Both	1885	NA	0.7	0
YDR363W-A	Both	5593	NA	0.68	0
YDR364C	Both	1630	NA	0.64	0
YDR365C	Both	656	NA	0.82	0
YDR366C	None	NA	NA	0.08	1
YDR367W	Both	3422	NA	0.42	0
YDR368W	Both	14148	NA	0.75	0
YDR369C	Both	358	NA	0.76	0
YDR370C	Both	1040	NA	0.65	0
YDR371W	Both	3049	NA	0.57	0
YDR372C	Both	1854	NA	0.76	0
YDR373W	Both	7157	NA	0.69	0
YDR374C	None	NA	NA	0.61	0
YDR375C	Both	1985	NA	0.67	0
YDR376W	Both	1600	4.26E+02	0.69	0
YDR377W	Both	14599	NA	0.49	0
YDR378C	None	NA	NA	0.5	0
YDR379C-A	Both	861	NA	0.29	0
YDR379W	Both	254	NA	0.66	0
YDR380W	Both	6560	NA	0.74	0
YDR381W	GFP	NA	NA	0.64	0
YDR382W	Both	601592	NA	0.65	0
YDR383C	None	NA	NA	0.63	0
YDR384C	Both	NA	NA	0.26	0
YDR385W	Both	78122	NA	0.68	0
YDR386W	TAP	300	NA	0.75	0
YDR387C	None	NA	NA	0.48	0
YDR388W	Both	14599	NA	0.69	0
YDR389W	Both	1418	NA	0.67	0
YDR390C	Both	18816	3.07E+03	0.83	0
YDR391C	Both	6024	NA	0.67	0
YDR392W	Both	1708	NA	0.76	0
YDR393W	TAP	279	NA	0.69	0
YDR394W	GFP	NA	NA	0.78	0
YDR395W	Both	16290	NA	0.82	0
YDR396W	None	NA	NA	0.32	0
YDR397C	Both	2949	NA	0.46	0
YDR398W	Both	33119	NA	0.8	0
YDR399W	Both	36501	NA	0.79	0
YDR400W	Both	NA	NA	0.7	0
YDR401W	None	NA	NA	0.17	0
YDR402C	None	NA	NA	0.61	0
YDR403W	None	NA	NA	0.77	0
YDR404C	Both	6419	NA	0.5	0
YDR405W	Both	2169	NA	0.3	0
YDR406W	None	NA	NA	0.78	0
YDR407C	Both	259	NA	0.71	0
YDR408C	Both	3910	NA	0.48	0
YDR409W	Both	149	NA	0.55	0
YDR410C	Both	2688	NA	0.27	0
YDR411C	Both	NA	NA	0.18	0
YDR412W	Both	2949	NA	0.67	0
YDR413C	None	NA	NA	-0.01	1
YDR414C	GFP	NA	NA	0.22	0
YDR415C	None	NA	NA	0.69	0
YDR416W	Both	2169	NA	0.73	0
YDR417C	None	NA	NA	0.21	1
YDR418W	Both	50307	NA	0.7	0
YDR419W	Both	1860	NA	0.61	0
YDR420W	TAP	NA	NA	0.3	0
YDR421W	Both	319	NA	0.69	0
YDR422C	Both	623	NA	0.75	0
YDR423C	Both	623	NA	0.66	0
YDR424C	Both	1309	NA	0.42	0
YDR425W	Both	1797	NA	0.59	0
YDR426C	None	NA	NA	0.26	0
YDR427W	Both	12446	NA	0.78	0
YDR428C	None	NA	NA	0.66	0
YDR429C	GFP	NA	NA	0.79	0
YDR430C	Both	6139	NA	0.85	0
YDR431W	None	NA	NA	-0.1	1
YDR432W	Both	78656	NA	0.57	0
YDR433W	None	NA	NA	0.21	1
YDR434W	Both	7524	NA	0.72	0
YDR435C	None	NA	NA	0.55	0
YDR436W	Both	189	NA	0.44	0
YDR437W	Both	752	NA	0.31	0
YDR438W	None	NA	NA	0.35	0
YDR439W	Both	1391	NA	0.59	0
YDR440W	Both	2157	NA	0.68	0
YDR441C	Both	937	NA	0.63	0
YDR442W	None	NA	NA	-0.01	1
YDR443C	Both	NA	NA	0.73	0
YDR444W	Both	2072	NA	0.63	0
YDR445C	None	NA	NA	0.08	1
YDR446W	None	NA	NA	0.64	0
YDR447C	Both	30542	NA	0.58	0
YDR448W	Both	1720	NA	0.56	0
YDR449C	Both	7524	NA	0.67	0
YDR450W	Both	48149	NA	0.52	0
YDR451C	Both	NA	NA	0.47	0
YDR452W	Both	319	NA	0.75	0
YDR453C	Both	4824	NA	0.67	0
YDR454C	Both	20507	NA	0.78	0
YDR455C	None	NA	NA	0.15	1
YDR456W	Both	521	NA	0.68	0
YDR457W	Both	358	NA	0.87	0
YDR458C	Both	1254	NA	0.7	0
YDR459C	None	NA	NA	0.38	0
YDR460W	Both	3049	NA	0.55	0
YDR461W	Both	28941	NA	0.48	0
YDR462W	Both	6278	NA	0.25	0
YDR463W	Both	1309	NA	0.7	0
YDR464W	GFP	NA	NA	0.78	0
YDR465C	Both	1604	NA	0.77	0
YDR466W	None	NA	NA	0.65	0
YDR467C	None	NA	NA	0.04	1
YDR468C	None	NA	NA	0.7	0
YDR469W	Both	937	NA	0.58	0
YDR470C	None	NA	NA	0.7	0
YDR471W	Both	22899	NA	0.58	0
YDR472W	Both	8349	NA	0.48	0
YDR473C	Both	432	NA	0.69	0
YDR474C	Both	2133	NA	0.58	0
YDR475C	None	NA	NA	0.32	0
YDR476C	Both	2120	NA	0.11	0
YDR477W	Both	589	NA	0.79	0
YDR478W	Both	172	NA	0.34	0
YDR479C	Both	5040	NA	0.64	0
YDR480W	Both	1309	NA	0.65	0
YDR481C	Both	3060	NA	0.74	0
YDR482C	Both	556	NA	0.13	0
YDR483W	Both	13025	NA	0.81	0
YDR484W	Both	3127	NA	0.7	0
YDR485C	Both	358	NA	0.79	0
YDR486C	Both	2108	NA	0.57	0
YDR487C	Both	5458	NA	0.63	0
YDR488C	TAP	752	NA	0.3	0
YDR489W	None	NA	NA	0.64	0
YDR490C	None	NA	NA	0.67	0
YDR491C	None	NA	NA	0.15	1
YDR492W	Both	NA	NA	0.25	0
YDR493W	Both	279	NA	0.48	0
YDR494W	None	NA	NA	0.55	0
YDR495C	Both	2265	NA	0.67	0
YDR496C	Both	21522	NA	0.87	0
YDR497C	Both	NA	NA	0.59	0
YDR498C	Both	4910	NA	0.55	0
YDR499W	Both	606	NA	0.72	0
YDR500C	Both	19673	NA	0.34	0
YDR501W	None	NA	NA	0.65	0
YDR502C	Both	22035	NA	0.69	0
YDR503C	Both	300	NA	0.2	0
YDR504C	None	NA	NA	0.09	1
YDR505C	Both	259	NA	0.61	0
YDR506C	TAP	589	NA	0.7	0
YDR507C	Both	736	NA	0.81	0
YDR508C	Both	10634	NA	0.67	0
YDR509W	None	NA	NA	0.04	1
YDR510W	Both	2937	NA	0.69	0
YDR511W	Both	195	NA	0.48	0
YDR512C	None	NA	NA	0.32	0
YDR513W	Both	31400	NA	0.63	0
YDR514C	Both	125	NA	0.6	0
YDR515W	Both	861	NA	0.68	0
YDR516C	Both	10566	NA	0.71	0
YDR517W	Both	2733	NA	0.51	0
YDR518W	None	NA	NA	0.78	0
YDR519W	Both	5403	NA	0.55	0
YDR520C	Both	937	NA	0.66	0
YDR521W	None	NA	NA	0.31	0
YDR522C	TAP	238	NA	0.76	0
YDR523C	GFP	NA	NA	0.76	0
YDR524C	Both	396	NA	0.55	0
YDR525W	None	NA	NA	0.02	1
YDR525W-A	Both	20407	NA	0.17	0
YDR526C	None	NA	NA	0.14	1
YDR527W	Both	688	NA	0.74	0
YDR528W	Both	259	NA	0.62	0
YDR529C	Both	10077	NA	0.6	0
YDR530C	Both	1772	NA	0.63	0
YDR531W	Both	6186	NA	0.58	0
YDR532C	Both	377	NA	0.64	0
YDR533C	Both	358	NA	0.72	0
YDR534C	None	NA	NA	0.39	0
YDR535C	None	NA	NA	0.01	1
YDR536W	None	NA	NA	0.69	0
YDR537C	None	NA	NA	0.41	0
YDR538W	Both	1746	NA	0.5	0
YDR539W	Both	861	NA	0.77	0
YDR540C	Both	172	NA	0.53	0
YDR541C	None	NA	NA	0.82	0
YDR542W	None	NA	NA	0.46	0
YDR543C	None	NA	NA	0.06	1
YDR544C	None	NA	NA	-0.04	1
YDR545W	None	NA	NA	0.55	0
YEL001C	Both	7109	NA	0.51	0
YEL002C	Both	14903	NA	0.61	0
YEL003W	Both	1656	NA	0.58	0
YEL004W	None	NA	NA	0.11	0
YEL005C	Both	NA	NA	0.65	0
YEL006W	Both	1630	NA	0.48	0
YEL007W	Both	1708	NA	0.44	0
YEL008W	Both	NA	NA	0.07	0
YEL009C	Both	NA	NA	0.76	0
YEL010W	None	NA	NA	-0.02	1
YEL011W	Both	1226	NA	0.79	0
YEL012W	Both	1591	NA	0.56	0
YEL013W	Both	5683	NA	0.78	0
YEL014C	GFP	NA	NA	-0.08	0
YEL015W	Both	2343	NA	0.67	0
YEL016C	TAP	NA	NA	0.5	0
YEL017C-A	Both	74716	NA	0.32	0
YEL017W	Both	1295	NA	0.36	0
YEL018W	Both	937	NA	0.59	0
YEL019C	Both	2802	NA	0.59	0
YEL020C	GFP	NA	NA	0.63	0
YEL020W-A	None	NA	NA	0.41	0
YEL021W	None	NA	NA	0.67	0
YEL022W	Both	7696	NA	0.82	0
YEL023C	None	NA	NA	0.65	0
YEL024W	GFP	NA	NA	0.66	0
YEL025C	GFP	NA	NA	0.77	0
YEL026W	None	NA	NA	0.57	0
YEL027W	Both	8451	NA	0.45	0
YEL028W	None	NA	NA	0.15	1
YEL029C	Both	NA	NA	0.7	0
YEL030W	None	NA	NA	0.82	0
YEL031W	Both	1873	NA	0.83	0
YEL032W	TAP	35100	5.54E+03	0.81	0
YEL033W	None	NA	NA	-0.01	1
YEL034W	None	NA	NA	0.71	0
YEL035C	None	NA	NA	-0.08	1
YEL036C	GFP	NA	NA	0.53	0
YEL037C	Both	10896	NA	0.72	0
YEL038W	Both	2847	NA	0.41	0
YEL039C	Both	1309	NA	0.61	0
YEL040W	Both	NA	NA	0.55	0
YEL041W	TAP	300	NA	0.62	0
YEL042W	Both	8682	NA	0.83	0
YEL043W	Both	149	NA	0.63	0
YEL044W	Both	1720	NA	0.24	0
YEL045C	None	NA	NA	-0.28	1
YEL046C	Both	106018	NA	0.65	0
YEL047C	Both	7622	NA	0.77	0
YEL048C	Both	8656	NA	0.6	0
YEL049W	None	NA	NA	0.51	0
YEL050C	Both	1578	NA	0.49	0
YEL051W	Both	8502	NA	0.8	0
YEL052W	Both	3573	NA	0.63	0
YEL053C	Both	1973	NA	0.79	0
YEL054C	Both	68484	NA	0.71	0
YEL055C	Both	4485	NA	0.84	0
YEL056W	None	NA	NA	0.74	0
YEL057C	None	NA	NA	0.61	0
YEL058W	Both	14690	NA	0.58	0
YEL059C-A	Both	358	NA	0.04	0
YEL059W	None	NA	NA	-0.15	1
YEL060C	Both	1604	NA	0.71	0
YEL061C	Both	238	NA	0.74	0
YEL062W	Both	319	NA	0.56	0
YEL063C	Both	NA	NA	0.61	0
YEL064C	None	NA	NA	0.46	0
YEL065W	GFP	NA	NA	0.57	0
YEL066W	Both	1155	NA	0.47	0
YEL067C	None	NA	NA	-0.07	1
YEL068C	TAP	952	NA	0.3	0
YEL069C	None	NA	NA	0.55	0
YEL070W	TAP	125	NA	0.67	0
YEL071W	Both	12967	NA	0.78	0
YEL072W	None	NA	NA	0.48	0
YEL073C	GFP	NA	NA	0.31	0
YEL074W	None	NA	NA	0.03	1
YEL075C	None	NA	NA	0.53	0
YEL076C	None	NA	NA	0.44	0
YEL076C-A	None	NA	NA	0.37	0
YEL076W-C	None	NA	NA	NA	0
YEL077C	None	NA	NA	0.45	0
YER001W	Both	1784	NA	0.79	0
YER002W	Both	2864	NA	0.75	0
YER003C	Both	5222	5.16E+02	0.85	0
YER004W	Both	1336	NA	0.44	0
YER005W	Both	450	NA	0.65	0
YER006W	Both	7133	NA	0.86	0
YER007C-A	Both	4215	NA	0.76	0
YER007W	TAP	2145	NA	0.59	0
YER008C	Both	377	NA	0.79	0
YER009W	None	NA	NA	0.56	0
YER010C	TAP	846	NA	0.49	0
YER011W	Both	623	NA	0.46	0
YER012W	TAP	21778	NA	0.67	0
YER013W	Both	907	NA	0.79	0
YER014C-A	None	NA	NA	0.16	0
YER014W	Both	5347	NA	0.6	0
YER015W	TAP	358	NA	0.79	0
YER016W	Both	3632	NA	0.55	0
YER017C	Both	3870	NA	0.76	0
YER018C	Both	3281	NA	0.05	0
YER019C-A	Both	414	NA	0.4	0
YER019W	TAP	2169	NA	0.39	0
YER020W	Both	4569	NA	0.38	0
YER021W	Both	16667	NA	0.74	0
YER022W	Both	3650	9.55E+01	0.79	0
YER023W	Both	43519	NA	0.65	0
YER024W	Both	319	NA	0.76	0
YER025W	Both	20770	2.84E+03	0.72	0
YER026C	TAP	NA	NA	0.62	0
YER027C	Both	3593	NA	0.6	0
YER028C	GFP	NA	NA	0.35	0
YER029C	Both	861	NA	0.42	0
YER030W	Both	623	NA	0.72	0
YER031C	Both	5955	NA	0.66	0
YER032W	Both	NA	NA	0.6	0
YER033C	GFP	NA	NA	0.67	0
YER034W	Both	1098	NA	0.4	0
YER035W	Both	538	NA	0.3	0
YER036C	Both	17636	NA	0.81	0
YER037W	Both	195	NA	0.68	0
YER038C	Both	NA	NA	0.64	0
YER039C	None	NA	NA	0.27	0
YER039C-A	TAP	99	NA	0.04	0
YER040W	Both	589	NA	0.39	0
YER041W	TAP	131	NA	0.69	0
YER042W	Both	3071	NA	0.69	0
YER043C	GFP	NA	NA	0.68	0
YER044C	Both	377	NA	0.38	0
YER044C-A	None	NA	NA	0.46	0
YER045C	None	NA	NA	0.6	0
YER046W	None	NA	NA	0.35	0
YER047C	Both	300	NA	0.78	0
YER048C	None	NA	NA	0.79	0
YER048W-A	Both	2444	NA	0.43	0
YER049W	Both	8914	NA	0.86	0
YER050C	TAP	1212	NA	0.34	0
YER051W	TAP	784	NA	0.64	0
YER052C	Both	48149	NA	0.81	0
YER053C	GFP	NA	NA	0.54	0
YER053C-A	Both	2361	NA	0.34	0
YER054C	Both	125	NA	0.7	0
YER055C	None	NA	NA	0.74	0
YER056C	Both	NA	NA	0.57	0
YER056C-A	Both	23562	NA	0.53	0
YER057C	TAP	672	NA	0.59	0
YER058W	None	NA	NA	0.41	0
YER059W	Both	1240	NA	0.58	0
YER060W	None	NA	NA	0.5	0
YER060w-A	None	NA	NA	NA	0
YER061C	Both	1656	NA	0.52	0
YER062C	Both	4997	NA	0.7	0
YER063W	Both	6583	NA	0.76	0
YER064C	Both	1733	NA	0.71	0
YER065C	None	NA	NA	0.77	0
YER066C-A	None	NA	NA	0.25	0
YER066W	None	NA	NA	0.46	0
YER067W	Both	8451	NA	0.63	0
YER068W	Both	4277	NA	0.68	0
YER069W	Both	1184	NA	0.82	0
YER070W	Both	292505	NA	0.78	0
YER071C	Both	799	NA	0.54	0
YER072W	Both	12074	NA	0.37	0
YER073W	Both	23317	NA	0.72	0
YER074W	GFP	NA	NA	0.57	0
YER075C	Both	768	NA	0.71	0
YER076C	None	NA	NA	0.49	0
YER077C	Both	432	NA	0.67	0
YER078C	Both	5084	NA	0.81	0
YER079W	Both	1885	NA	0.43	0
YER080W	Both	8197	NA	0.83	0
YER081W	Both	7672	NA	0.76	0
YER082C	TAP	5796	NA	0.81	0
YER083C	GFP	NA	NA	0.44	0
YER084W	Both	300	NA	-0.05	0
YER085C	None	NA	NA	0.3	0
YER086W	Both	11875	NA	0.7	0
YER087C-A	Both	217	NA	NA	0
YER087W	TAP	477	NA	0.74	0
YER088C	Both	2120	NA	0.37	0
YER089C	Both	12619	NA	0.55	0
YER090W	Both	6512	NA	0.81	0
YER091C	Both	263886	NA	0.75	0
YER091C-A	None	NA	NA	0.02	1
YER092W	Both	2277	NA	0.52	0
YER093C	None	NA	NA	0.67	0
YER093C-A	TAP	1835	NA	0.37	0
YER094C	None	NA	NA	0.55	0
YER095W	Both	6964	NA	0.71	0
YER096W	None	NA	NA	0.77	0
YER097W	None	NA	NA	-0.02	1
YER098W	Both	99	NA	0.73	0
YER099C	Both	8121	NA	0.54	0
YER100W	Both	1898	NA	0.64	0
YER101C	Both	937	NA	0.68	0
YER102W	Both	14388	NA	0.59	0
YER103W	Both	17877	NA	0.81	0
YER104W	Both	259	NA	0.6	0
YER105C	Both	4422	NA	0.81	0
YER106W	None	NA	NA	0.64	0
YER107C	Both	1823	1.36E+02	0.5	0
YER109C	None	NA	NA	0.54	0
YER110C	Both	38301	NA	0.81	0
YER111C	Both	589	NA	0.63	0
YER112W	Both	3443	NA	0.33	0
YER113C	Both	NA	NA	0.42	0
YER114C	Both	688	NA	0.78	0
YER115C	None	NA	NA	0.35	0
YER116C	Both	NA	NA	0.63	0
YER117W	GFP	NA	NA	0.54	0
YER118C	Both	2325	NA	0.6	0
YER119C	None	NA	NA	0.19	0
YER119C-A	None	NA	NA	0.25	1
YER120W	Both	3497	NA	0.64	0
YER121W	None	NA	NA	0.57	0
YER122C	Both	1512	NA	0.8	0
YER123W	Both	1323	NA	0.7	0
YER124C	Both	3082	NA	0.66	0
YER125W	None	NA	NA	0.74	0
YER126C	Both	8656	NA	0.69	0
YER127W	TAP	1431	NA	0.75	0
YER128W	Both	967	NA	0.65	0
YER129W	Both	752	NA	0.64	0
YER130C	None	NA	NA	0.65	0
YER131W	Both	503125	NA	0.48	0
YER132C	Both	815	NA	0.69	0
YER133W	Both	14599	NA	0.68	0
YER134C	Both	6186	NA	0.55	0
YER135C	None	NA	NA	0.2	1
YER136W	Both	7283	9.67E+02	0.8	0
YER137C	None	NA	NA	0.46	0
YER139C	Both	5481	NA	0.62	0
YER140W	GFP	NA	NA	0.4	0
YER141W	Both	NA	NA	0.62	0
YER142C	Both	NA	NA	0.7	0
YER143W	Both	6512	NA	0.64	0
YER144C	TAP	300	NA	0.59	0
YER145C	Both	8375	NA	0.48	0
YER146W	None	NA	NA	0.3	0
YER147C	Both	907	NA	0.21	0
YER148W	Both	NA	NA	0.69	0
YER149C	Both	7821	NA	0.69	0
YER150W	GFP	NA	NA	0.4	0
YER151C	Both	2205	NA	0.78	0
YER152C	Both	1391	NA	0.26	0
YER153C	Both	468	NA	0	0
YER154W	Both	6548	NA	0.41	0
YER155C	Both	1233	NA	0.79	0
YER156C	Both	6082	NA	0.66	0
YER157W	Both	4145	1.63E+02	0.74	0
YER158C	TAP	784	NA	0.4	0
YER159C	Both	5127	NA	0.52	0
YER161C	Both	1240	NA	0.64	0
YER162C	Both	876	NA	0.75	0
YER163C	Both	1295	NA	0.37	0
YER164W	Both	1617	NA	0.91	0
YER165W	Both	197890	4.85E+04	0.78	0
YER166W	Both	NA	NA	0.87	0
YER167W	GFP	NA	NA	0.55	0
YER168C	Both	13525	2.31E+03	0.81	0
YER169W	Both	2229	NA	0.62	0
YER170W	Both	704	NA	0.46	0
YER171W	Both	14432	1.30E+03	0.77	0
YER172C	Both	1445	NA	0.87	0
YER173W	Both	752	NA	0.63	0
YER174C	Both	7796	NA	0.69	0
YER175C	Both	937	NA	0.65	0
YER176W	Both	736	NA	0.72	0
YER177W	Both	157575	NA	0.66	0
YER178W	Both	100203	NA	0.66	0
YER179W	None	NA	NA	0.69	0
YER180C	None	NA	NA	0.56	0
YER181C	None	NA	NA	-0.08	1
YER182W	Both	1923	NA	0.54	0
YER183C	Both	468	NA	0.49	0
YER184C	None	NA	NA	0.65	0
YER185W	None	NA	NA	0.27	0
YER186C	None	NA	NA	0.41	0
YER187W	None	NA	NA	0.48	0
YER187W-A	None	NA	NA	0.12	1
YER188W	TAP	NA	NA	0.39	0
YER189W	None	NA	NA	0.54	0
YER190W	None	NA	NA	0.5	0
YFL001W	Both	5864	NA	0.68	0
YFL002C	Both	5739	NA	0.78	0
YFL003C	None	NA	NA	0.63	0
YFL004W	Both	2915	NA	0.86	0
YFL005W	None	NA	NA	0.61	0
YFL006W	Both	1498	NA	0.58	0
YFL007W	Both	2595	NA	0.8	0
YFL008W	Both	5705	NA	0.84	0
YFL009W	None	NA	NA	0.71	0
YFL010C	Both	6024	NA	0.45	0
YFL010W-A	None	NA	NA	-0.2	1
YFL011W	None	NA	NA	0.46	0
YFL012W	None	NA	NA	0.37	0
YFL013C	Both	1391	NA	0.78	0
YFL013W-A	None	NA	NA	NA	0
YFL014W	Both	4485	NA	0.71	0
YFL015C	None	NA	NA	-0.11	1
YFL016C	Both	7573	NA	0.59	0
YFL017C	Both	2549	NA	0.43	0
YFL017W-A	Both	1404	NA	0.44	0
YFL018C	Both	24567	NA	0.75	0
YFL019C	None	NA	NA	0.28	0
YFL020C	None	NA	NA	0.54	0
YFL021W	Both	1184	NA	0.22	0
YFL022C	None	NA	NA	0.74	0
YFL023W	Both	1295	NA	0.74	0
YFL024C	Both	1112	NA	0.75	0
YFL025C	Both	NA	NA	0.71	0
YFL026W	Both	NA	NA	0.56	0
YFL027C	Both	573	NA	0.62	0
YFL028C	Both	1617	NA	0.65	0
YFL029C	Both	NA	NA	0.53	0
YFL030W	TAP	339	NA	0.49	0
YFL031W	Both	8966	NA	0.39	0
YFL032W	None	NA	NA	0.07	1
YFL033C	Both	NA	NA	0.78	0
YFL034C-A	Both	74716	NA	0.7	0
YFL034C-B	Both	2253	NA	0.31	0
YFL034W	Both	1112	NA	0.9	0
YFL036W	GFP	NA	NA	0.88	0
YFL037W	None	NA	NA	0.79	0
YFL038C	None	NA	NA	0.39	0
YFL039C	None	NA	NA	0.66	0
YFL040W	None	NA	NA	0.31	0
YFL041W	Both	2836	NA	0.69	0
YFL042C	None	NA	NA	0.74	0
YFL043C	None	NA	NA	NA	0
YFL044C	Both	2768	NA	0.7	0
YFL045C	Both	3497	NA	0.75	0
YFL046W	Both	NA	NA	0.57	0
YFL047W	Both	1746	NA	0.74	0
YFL048C	Both	2904	NA	0.83	0
YFL049W	Both	3182	NA	0.79	0
YFL050C	TAP	2133	NA	0.72	0
YFL051C	None	NA	NA	0.35	0
YFL052W	None	NA	NA	0.36	0
YFL053W	TAP	NA	NA	0.62	0
YFL054C	None	NA	NA	0.6	0
YFL055W	None	NA	NA	0.44	0
YFL056C	None	NA	NA	0.45	0
YFL057C	None	NA	NA	0.62	0
YFL058W	None	NA	NA	0.65	0
YFL059W	None	NA	NA	0.69	0
YFL060C	TAP	195	NA	0.58	0
YFL061W	None	NA	NA	0.5	0
YFL062W	Both	NA	NA	0.34	0
YFL063W	None	NA	NA	-0.11	1
YFL064C	None	NA	NA	0.46	0
YFL065C	None	NA	NA	0.16	1
YFL066C	None	NA	NA	0.46	0
YFL067W	None	NA	NA	0.17	0
YFL068W	None	NA	NA	-0.1	1
YFR001W	Both	3652	NA	0.66	0
YFR002W	Both	15545	NA	0.81	0
YFR003C	TAP	1084	NA	0.5	0
YFR004W	Both	16353	NA	0.68	0
YFR005C	Both	167	2.20E+01	0.56	0
YFR006W	GFP	NA	NA	0.81	0
YFR007W	TAP	161	NA	0.63	0
YFR008W	Both	486	NA	0.5	0
YFR009W	Both	14630	NA	0.86	0
YFR010W	Both	6773	NA	0.88	0
YFR011C	Both	3554	NA	0.73	0
YFR012W	None	NA	NA	0.06	1
YFR012W-A	None	NA	NA	0.16	1
YFR013W	Both	1772	NA	0.8	0
YFR014C	Both	1525	NA	0.82	0
YFR015C	Both	6302	NA	0.81	0
YFR016C	Both	704	NA	0.76	0
YFR017C	Both	639	NA	0.24	0
YFR018C	TAP	3971	NA	0.12	0
YFR019W	Both	149	NA	0.81	0
YFR020W	None	NA	NA	0.54	0
YFR021W	Both	1564	NA	0.57	0
YFR022W	None	NA	NA	0.5	0
YFR023W	None	NA	NA	0.68	0
YFR024C	Both	18038	NA	0.65	0
YFR024C-A	Both	3671	NA	0.66	0
YFR025C	Both	4277	NA	0.47	0
YFR026C	TAP	721	NA	0.28	0
YFR027W	GFP	NA	NA	0.32	0
YFR028C	Both	8553	NA	0.68	0
YFR029W	None	NA	NA	0.41	0
YFR030W	Both	1578	NA	0.85	0
YFR031C	Both	3291	NA	0.8	0
YFR031C-A	Both	NA	NA	0.51	0
YFR032C	None	NA	NA	0.43	0
YFR032C-A	Both	51129	NA	0.38	0
YFR033C	Both	4485	NA	0.65	0
YFR034C	GFP	NA	NA	0.03	0
YFR035C	None	NA	NA	0.03	1
YFR036W	Both	NA	NA	0.29	0
YFR037C	Both	3381	3.41E+02	0.57	0
YFR038W	None	NA	NA	0.78	0
YFR039C	Both	3171	NA	0.7	0
YFR040W	Both	5955	NA	0.74	0
YFR041C	GFP	NA	NA	0.59	0
YFR042W	None	NA	NA	0.12	0
YFR043C	TAP	NA	NA	0.58	0
YFR044C	Both	22293	NA	0.79	0
YFR045W	None	NA	NA	0.31	0
YFR046C	Both	1295	NA	0.59	0
YFR047C	Both	2665	NA	0.67	0
YFR048W	Both	656	NA	0.7	0
YFR049W	Both	2047	NA	0.33	0
YFR050C	Both	16919	NA	0.6	0
YFR051C	Both	17957	NA	0.7	0
YFR052W	Both	9889	NA	0.63	0
YFR053C	Both	40791	NA	0.77	0
YFR054C	TAP	300	NA	0.25	0
YFR055W	TAP	2607	NA	0.6	0
YFR056C	None	NA	NA	0.01	1
YFR057W	None	NA	NA	0.26	0
YGL001C	Both	2578	NA	0.71	0
YGL002W	None	NA	NA	0.58	0
YGL003C	None	NA	NA	0.62	0
YGL004C	Both	2205	NA	0.68	0
YGL005C	Both	1364	NA	0.57	0
YGL006W	Both	99	NA	0.86	0
YGL007W	None	NA	NA	0	1
YGL008C	Both	1255722	NA	0.66	0
YGL009C	Both	96329	NA	0.82	0
YGL010W	Both	486	NA	0.29	0
YGL011C	Both	15208	NA	0.71	0
YGL012W	Both	1643	NA	0.41	0
YGL013C	Both	1295	NA	0.76	0
YGL014W	Both	721	NA	0.68	0
YGL015C	None	NA	NA	0.38	0
YGL016W	Both	9756	NA	0.73	0
YGL017W	Both	2035	NA	0.58	0
YGL018C	Both	2010	NA	0.59	0
YGL019W	Both	8121	NA	0.51	0
YGL020C	Both	2253	NA	0.59	0
YGL021W	Both	2193	NA	0.58	0
YGL022W	Both	3005	NA	0.48	0
YGL023C	GFP	NA	NA	0.4	0
YGL024W	None	NA	NA	0.02	1
YGL025C	Both	556	NA	0.36	0
YGL026C	Both	15453	NA	0.73	0
YGL027C	TAP	2836	NA	0.81	0
YGL028C	Both	22621	NA	0.54	0
YGL029W	Both	2337	NA	0.55	0
YGL030W	TAP	59319	NA	0.57	0
YGL031C	Both	247378	NA	0.59	0
YGL032C	Both	1155	NA	0.08	0
YGL033W	None	NA	NA	0.66	0
YGL034C	None	NA	NA	0.23	1
YGL035C	Both	830	NA	0.46	0
YGL036W	Both	486	NA	0.66	0
YGL037C	Both	7721	NA	0.62	0
YGL038C	Both	9490	NA	0.67	0
YGL039W	Both	2343	NA	0.74	0
YGL040C	Both	11557	1.21E+03	0.64	0
YGL041C	None	NA	NA	0.05	1
YGL042C	None	NA	NA	0.07	1
YGL043W	Both	6255	NA	0.73	0
YGL044C	TAP	6348	NA	0.46	0
YGL045W	TAP	784	NA	0.6	0
YGL046W	Both	3038	NA	0.29	0
YGL047W	Both	1948	NA	0.38	0
YGL048C	Both	4696	NA	0.75	0
