# Downloaded from http://www.nature.com/nature/journal/v425/n6959/suppinfo/nature02046.html
# Ghaemmaghami et al. Nature 2003
#ORF	Observed Expression	Protein Molecules/Cell	Standard Deviation	CEC	Spurious
orf	method	abund	sd.abund	cec	spurious
YBR194W	Both	NA	NA	0.56	0
YBR195C	Both	149	NA	0.61	0
YBR196C	Both	91629	3.42E+04	0.66	0
YBR197C	Both	1364	NA	0.45	0
YBR198C	Both	14834	2.03E+02	0.8	0
YBR199W	Both	5237	NA	0.65	0
YBR200W	Both	6489	NA	0.8	0
YBR201W	TAP	238	NA	0.25	0
YBR202W	Both	166	NA	0.84	0
YBR203W	None	NA	NA	0.65	0
YBR204C	None	NA	NA	0.61	0
YBR205W	Both	704	NA	0.49	0
YBR206W	None	NA	NA	0.04	1
YBR207W	Both	486	NA	0.63	0
YBR208C	Both	952	NA	0.83	0
YBR209W	None	NA	NA	0.18	1
YBR210W	None	NA	NA	0.23	0
YBR211C	Both	1630	NA	0.58	0
YBR212W	Both	1538	NA	0.46	0
YBR213W	None	NA	NA	0.24	0
YBR214W	Both	2836	NA	0.51	0
YBR215W	Both	238	NA	0.74	0
YBR216C	Both	3060	NA	0.75	0
YBR217W	None	NA	NA	0.45	0
YBR218C	Both	16951	NA	0.78	0
YBR219C	None	NA	NA	-0.17	1
YBR220C	None	NA	NA	0.26	0
YBR221C	Both	9970	NA	0.75	0
YBR222C	Both	8772	NA	0.64	0
YBR223C	Both	2133	NA	0.58	0
YBR224W	None	NA	NA	-0.14	1
YBR225W	Both	623	NA	0.72	0
YBR226C	None	NA	NA	0.14	1
YBR227C	Both	10868	NA	0.81	0
YBR228W	None	NA	NA	0.39	0
YBR229C	TAP	238	NA	0.79	0
YBR230C	Both	4749	NA	0.37	0
YBR231C	Both	1682	NA	0.54	0
YBR232C	None	NA	NA	0.2	1
YBR233W	Both	1591	NA	0.62	0
YBR233W-A	Both	468	NA	0.43	0
YBR234C	Both	NA	NA	0.66	0
YBR235W	Both	NA	NA	0.68	0
YBR236C	GFP	NA	NA	0.8	0
YBR237W	Both	358	NA	0.78	0
YBR238C	Both	2084	NA	0.69	0
YBR239C	Both	86	NA	0.41	0
YBR240C	None	NA	NA	0.18	0
YBR241C	Both	NA	NA	0.2	0
YBR242W	Both	2733	NA	0.64	0
YBR243C	None	NA	NA	0.44	0
YBR244W	Both	2010	NA	0.54	0
YBR245C	Both	1498	NA	0.87	0
YBR246W	TAP	2642	NA	0.5	0
YBR247C	Both	21578	2.96E+03	0.87	0
YBR248C	Both	11847	NA	0.76	0
YBR249C	Both	26272	NA	0.71	0
YBR250W	None	NA	NA	0.69	0
YBR251W	Both	6678	NA	0.66	0
YBR252W	Both	4339	NA	0.48	0
YBR253W	Both	2181	NA	0.39	0
YBR254C	Both	1198	NA	0.39	0
YBR255W	Both	396	NA	0.59	0
YBR256C	Both	7303	NA	0.49	0
YBR257W	None	NA	NA	0.49	0
YBR258C	Both	1525	NA	0.65	0
YBR259W	Both	NA	NA	0.67	0
YBR260C	Both	1498	NA	0.79	0
YBR261C	Both	3060	NA	0.55	0
YBR262C	Both	2549	NA	0.26	0
YBR263W	Both	17716	NA	0.71	0
YBR264C	Both	1364	NA	0.34	0
YBR265W	Both	7696	NA	0.61	0
YBR266C	TAP	339	NA	0.08	0
YBR267W	Both	830	NA	0.66	0
YBR268W	Both	1098	NA	0.18	0
YBR269C	GFP	NA	NA	0.33	0
YBR270C	None	NA	NA	0.48	0
YBR271W	Both	217	NA	0.58	0
YBR272C	Both	468	NA	0.73	0
YBR273C	Both	2193	NA	0.7	0
YBR274W	Both	2526	NA	0.75	0
YBR275C	Both	NA	NA	0.75	0
YBR276C	None	NA	NA	0.66	0
YBR277C	None	NA	NA	0.12	1
YBR278W	Both	784	NA	0.61	0
YBR279W	Both	1040	NA	0.81	0
YBR280C	None	NA	NA	0.6	0
YBR281C	Both	1936	NA	0.8	0
YBR282W	Both	2253	NA	0.36	0
YBR283C	Both	704	NA	0.61	0
YBR284W	None	NA	NA	0.62	0
YBR285W	None	NA	NA	0.55	0
YBR286W	Both	4739	NA	0.74	0
YBR287W	Both	6442	NA	0.61	0
YBR288C	Both	3411	NA	0.67	0
YBR289W	Both	217	NA	0.37	0
YBR290W	Both	3071	NA	0.59	0
YBR291C	GFP	NA	NA	0.55	0
YBR292C	None	NA	NA	0.22	1
YBR293W	None	NA	NA	0.21	0
YBR294W	None	NA	NA	0.72	0
YBR295W	None	NA	NA	0.64	0
YBR296C	GFP	NA	NA	0.63	0
YBR297W	None	NA	NA	0.55	0
YBR298C	None	NA	NA	0.67	0
YBR299W	TAP	4031	NA	0.8	0
YBR300C	None	NA	NA	-0.09	1
YBR301W	None	NA	NA	0.48	0
YBR302C	Both	NA	NA	0.37	0
YCL001W	Both	2836	NA	0.56	0
YCL001W-A	None	NA	NA	0.54	0
YCL001W-B	None	NA	NA	0.39	0
YCL002C	None	NA	NA	0.11	1
YCL004W	None	NA	NA	0.63	0
YCL005W	Both	149	NA	0.12	0
YCL007C	None	NA	NA	0.17	0
YCL008C	TAP	1364	NA	0.23	0
YCL009C	Both	15793	NA	0.46	0
YCL010C	Both	1746	NA	0.51	0
YCL011C	Both	2537	NA	0.61	0
YCL014W	Both	NA	NA	0.82	0
YCL016C	Both	1656	NA	0.52	0
YCL017C	Both	504	NA	0.73	0
YCL018W	None	NA	NA	0.72	0
YCL021W-A	None	NA	NA	0.25	0
YCL022C	None	NA	NA	0.07	1
YCL023C	None	NA	NA	-0.02	1
YCL024W	Both	538	NA	0.75	0
YCL025C	Both	21148	NA	0.58	0
YCL026C-A	GFP	NA	NA	0.58	0
YCL027C-A	TAP	NA	NA	0.61	0
YCL027W	GFP	NA	NA	0.49	0
YCL028W	Both	1141	NA	0.39	0
YCL029C	Both	300	NA	0.6	0
YCL030C	Both	521	NA	0.82	0
YCL031C	Both	2607	NA	0.68	0
YCL032W	Both	1669	NA	0.55	0
YCL033C	TAP	799	NA	0.3	0
YCL034W	Both	NA	NA	0.36	0
YCL035C	Both	3027	NA	0.6	0
YCL036W	None	NA	NA	0.43	0
YCL037C	Both	8425	NA	0.71	0
YCL038C	None	NA	NA	0.41	0
YCL039W	Both	1198	NA	0.45	0
YCL040W	Both	21114	NA	0.46	0
YCL041C	None	NA	NA	-0.21	1
YCL042W	None	NA	NA	-0.13	1
YCL043C	Both	NA	NA	0.65	0
YCL044C	Both	3411	NA	0.35	0
YCL045C	Both	2836	NA	0.69	0
YCL046W	None	NA	NA	0.34	0
YCL047C	TAP	830	NA	0.5	0
YCL048W	None	NA	NA	0.69	0
YCL049C	TAP	656	NA	0.55	0
YCL050C	Both	19607	NA	0.76	0
YCL051W	None	NA	NA	0.61	0
YCL052C	Both	4932	NA	0.69	0
YCL054W	None	NA	NA	0.86	0
YCL055W	Both	1695	NA	0.65	0
YCL056C	GFP	NA	NA	0.22	0
YCL057W	Both	8914	NA	0.81	0
