#rpkm values of gene expression		
#data file name	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX 
#gene id/sample#	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23
orf	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX
YAL051W	8.575	11.487	13.021	12.153	10.834	10.05	8.913	8.812	26.177	29.039	35.232	28.141	24.808	22.861	20.607	24.175	14.425	11.078	9.947	28.057	18.729	8.255	9.989
YAL053W	43.834	34.77	31.9	35.539	30.167	30.041	32.973	33.551	64.535	51.119	64.582	70.434	58.645	50.325	60.667	75.101	55.961	36	33.797	41.855	60.115	28.417	20.028
YAL054C	0.808	0.965	2.184	1.998	1.68	1.613	0.668	1.387	1.245	3.02	8.407	8.639	5.271	6.529	3.508	6.786	9.634	17.682	0.757	15.047	153.598	0.385	0.706
YAL055W	8.984	6.67	13.793	15.558	9.827	12.748	11.282	13.793	17.434	33.411	35.269	31.047	26.226	34.85	23.309	31.281	23.17	27.681	15.577	50.548	32.671	5.318	13.337
YAL056W	5.189	7.165	6.04	5.033	5.291	4.719	3.956	3.78	10	14.389	13.729	11.64	9.003	5.565	6.598	5.618	6.055	3.483	5.306	20.274	12.424	2.933	5.327
YAL058W	12.546	12.233	13.479	16.272	12.639	11.858	10.365	10.471	13.303	15.757	19.166	17.507	15.885	13.447	14.565	13.683	8.499	6.286	10.233	11.827	9.646	13.096	7.568
YAL059W	85.418	101.417	73.228	83.507	57.514	58.501	132.585	139.352	12.931	34.325	19.325	11.095	10.46	14.972	41.787	52.217	4.761	2.528	67.643	24.154	14.081	82.31	61.758
YAL060W	64.296	60.561	63.918	97.213	69.164	69.652	51.976	37.08	574.559	549.884	499.603	522.603	515.814	536.064	506.811	299.975	226.686	392.265	76.385	245.241	313.802	47.907	79.263
YAL061W	1.771	3.841	14.454	17.552	9.374	12.948	2.925	3.229	33.056	36.34	217.294	288.762	108.374	124.964	19.35	40.723	56.58	149.36	9.46	1219.331	207.858	1.361	13.236
YAL062W	1.576	5.798	1.685	5.079	1.864	1.939	2.191	1.462	6.506	21.299	11.507	10.209	9.924	18.085	10.03	7.432	4.476	9.625	1.455	20.438	20.92	0.925	1.244
YAL063C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL064W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL067C	0.512	0.293	0.393	0.502	0.157	0.35	0.116	0.399	0.448	0.489	0.688	0.889	0.609	0.348	0.307	0.614	0	0.203	5.572	918.615	0.735	0	0.171
YAL067W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR002C-A	220.071	191.711	171.045	210.735	171.96	192.033	189.623	191.874	197.459	168.861	137.434	138.553	133.631	137.843	165.949	158.923	119.141	84.55	236.147	67.885	190.056	183.685	202.772
YAR002W	43.689	33.371	48.566	50.063	46.691	47.682	55.684	59.072	52.795	57.073	52.791	46.915	46.647	49.553	61.861	56.625	27.762	21.962	49.938	82.226	57.015	61.474	43.515
YAR003W	9.685	13.761	13.424	11.553	8.936	9.165	8.079	7.193	16.589	29.243	25.643	20.127	14.322	10.596	12.732	10.422	7.726	3.461	11.773	11.024	17.486	14.295	13.3
YAR007C	54.699	43.781	53.771	54.957	55.201	55.364	56.307	49.24	171.203	168.553	201.519	191.995	169.691	137.951	164.884	206.744	90.09	48.414	70.508	144.493	117.436	71.141	64.136
YAR008W	11.427	14.206	13.384	15.07	7.792	11.96	11.234	12.078	12.42	14.684	12.983	11.705	8.683	7.872	11.258	14.306	7.833	1.404	14.147	11.445	6.061	9.168	18.409
YAR014C	21.938	36.147	27.416	22.588	19.885	20.923	22.574	24.116	19.766	33.215	25.75	20.915	16.244	16.766	22.54	20.606	10.956	4.698	27.143	30.015	30.692	28.43	24.348
YAR015W	371.932	130.765	135.979	130.378	140.591	136.717	130.211	171.719	122.181	101.658	77.532	80.485	85.53	74.79	111.857	89.425	102.797	30.703	177.634	877.245	858.868	157.331	157.968
YAR018C	9.083	8.153	15.858	11.411	10.811	11.59	7.684	9.561	4.522	8.509	5.908	5.817	5.657	4.55	4.007	3.776	7.081	5.358	12.959	50.007	18.41	9.425	14.434
YAR019C	3.529	4.707	4.794	3.983	3.829	3.582	1.93	2.717	7.668	11.934	11.676	11.06	6.592	5.382	4.5	4.022	4.744	3.738	2.88	14.563	11.184	3.891	3.469
YAR020C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR023C	0.57	0	0.751	1.279	1.499	0.267	0.443	0.508	1.927	2.803	2.63	3.058	2.718	2.126	1.76	0.978	3.888	8.516	1.404	7.101	1.605	0.892	1.965
YAR027W	38.098	29.159	49.707	51.821	39.054	44.508	39.607	34.193	207.586	125.776	197.015	246.623	159.05	185.631	142.764	134.343	141.155	167.516	50.819	214.987	164.891	34.87	39.107
YAR028W	23.233	18.722	24.021	21.157	20.06	22.753	19.741	19.337	30.047	17.669	30.289	30.641	16.097	18.945	21.441	19.206	34.403	27.026	23.322	55.089	25.965	16.872	21.198
YAR029W	0.287	0	0	0	0	0	0.519	0.596	2.261	0	0	0	0	2.807	1.033	0.689	4.562	5.45	0	0	0	0	0
YAR035W	0.602	0.752	1.093	1.146	1.948	1.198	0.562	0.569	1.966	4.187	5.402	5.709	3.567	3.216	2.366	2.586	6.097	4.683	0.996	3.977	4.673	0.4	0.587
YAR042W	13.228	16.619	16.386	17.405	16.703	15.712	12.019	12.358	36.621	41.624	40.614	41.568	36.467	28.472	29.429	23.212	10.033	15.524	13.932	24.934	15.578	11.098	17.789
YBL001C	181.619	249.67	222.756	283.932	163.82	213.424	258.121	255.428	414.429	409.227	478.189	531.936	341.704	523.317	525.891	478.391	356.737	223.393	330.534	360.902	517.196	215.479	290.214
YBL004W	31.883	29.82	26.577	23.151	24.303	25.677	24.373	26.376	1.71	3.732	2.691	1.883	1.805	1.537	4.214	4.489	0.695	0.415	21.444	4.233	1.291	24.89	14.406
