# Abundance and Variation Measurements for Strains Grown in YEPD and SD
# Newman et al. Nature 2006
# ORF	Name	NA	Ave. YEPD	Error	Ave. SD	Error
orf	gene	avg.yepd.abund	avg.yepd.abund.error	avg.sd.abund	avg.sd.abund.error
YBR118W	TEF2	30699.5	1066.33	24026.0	960.68
YBR119W	MUD1	NA	NA	NA	NA
YBR120C	CBP6	207.0	23.98	221.8	25.33
YBR121C	GRS1	2608.0	98.41	2160.0	95.00
YBR122C	MRPL36	167.0	23.24	229.8	25.44
YBR123C	TFC1	52.0	21.43	51.0	22.44
YBR125C	PTC4	NA	NA	NA	NA
YBR126C	TPS1	1279.0	54.27	2145.5	95.19
YBR127C	VMA2	1868.0	73.20	1179.0	56.57
YBR129C	OPY1	NA	NA	NA	NA
YBR130C	SHE3	165.0	23.19	163.0	25.10
YBR131W	CCZ1	NA	NA	NA	NA
YBR132C	AGP2	167.5	23.02	243.0	25.94
YBR133C	HSL7	NA	NA	NA	NA
YBR135W	CKS1	NA	NA	226.6	25.38
YBR137W	NA	NA	NA	72.2	22.13
YBR138C	NA	NA	NA	NA	NA
YBR139W	NA	NA	NA	NA	NA
YBR140C	IRA1	53.0	21.27	97.8	22.57
YBR141C	NA	NA	NA	NA	NA
YBR142W	MAK5	180.5	23.48	101.0	23.45
YBR143C	SUP45	3019.5	112.42	2158.5	96.26
YBR145W	ADH5	NA	NA	NA	NA
YBR149W	ARA1	100.5	22.12	243.0	27.26
YBR150C	TBS1	NA	NA	NA	NA
YBR151W	APD1	166.0	23.22	152.0	24.83
YBR152W	SPP381	100.0	22.11	69.5	23.02
YBR155W	CNS1	273.5	25.35	178.5	25.48
YBR156C	SLI15	NA	NA	NA	NA
YBR158W	AMN1	NA	NA	NA	NA
YBR159W	NA	669.5	35.17	461.5	31.95
YBR160W	CDC28	542.0	31.97	343.0	29.98
YBR161W	CSH1	NA	NA	NA	NA
YBR162C	TOS1	423.5	28.86	199.0	26.03
YBR162W-A	YSY6	124.5	22.50	59.5	21.96
YBR163W	DEM1	NA	NA	NA	NA
YBR164C	ARL1	408.0	28.17	235.0	25.56
YBR166C	TYR1	169.5	23.27	155.5	24.93
YBR167C	POP7	NA	NA	85.0	22.36
YBR168W	PEX32	NA	NA	NA	NA
YBR169C	SSE2	144.0	22.82	301.0	28.41
YBR170C	NPL4	175.5	23.38	148.5	24.44
YBR171W	SEC66	623.5	33.87	463.5	32.05
YBR172C	SMY2	192.0	23.69	238.0	36.17
YBR173C	UMP1	NA	NA	NA	NA
YBR175W	SWD3	NA	NA	NA	NA
YBR176W	ECM31	NA	NA	NA	NA
YBR177C	EHT1	190.0	23.65	363.5	30.61
YBR179C	FZO1	68.0	21.48	60.5	21.93
YBR181C	RPS6B	260.0	25.06	287.0	27.22
YBR185C	MBA1	118.0	22.20	129.5	23.16
YBR187W	NA	204.5	23.71	87.0	22.36
YBR188C	NTC20	46.5	21.35	106.0	22.72
YBR189W	RPS9B	8509.0	300.73	NA	NA
YBR191W	RPL21A	4399.0	159.50	3283.5	139.50
YBR193C	MED8	57.5	21.50	NA	NA
YBR194W	SOY1	NA	NA	NA	NA
YBR195C	MSI1	NA	NA	NA	NA
YBR196C	PGI1	12656.5	443.97	9360.0	374.52
YBR197C	NA	NA	NA	NA	NA
YBR198C	TAF5	NA	NA	NA	NA
YBR199W	KTR4	84.5	21.88	72.5	22.17
YBR200W	BEM1	145.5	22.85	140.5	24.32
YBR202W	CDC47	237.5	24.59	181.0	25.27
YBR205W	KTR3	61.5	21.38	NA	NA
YBR207W	FTH1	412.0	28.29	173.0	24.11
YBR208C	DUR1,2	88.0	21.93	179.5	25.84
YBR211C	AME1	61.0	21.56	NA	NA
YBR212W	NGR1	135.5	22.68	147.5	24.46
YBR214W	SDS24	138.0	22.72	235.0	26.63
YBR215W	HPC2	NA	NA	NA	NA
YBR216C	YBP1	101.5	22.13	101.5	23.45
YBR218C	PYC2	807.5	39.58	1854.5	83.92
YBR221C	PDB1	545.5	32.06	530.5	35.74
YBR222C	PCS60	301.0	25.67	334.0	28.40
YBR223C	TDP1	NA	NA	NA	NA
YBR225W	NA	NA	NA	NA	NA
YBR227C	MCX1	72.0	21.70	117.0	23.78
YBR230C	NA	NA	NA	NA	NA
YBR231C	SWC5	NA	NA	NA	NA
YBR233W	PBP2	NA	NA	NA	NA
YBR233W-A	DAD3	111.5	22.29	NA	NA
YBR234C	ARC40	NA	NA	839.5	46.65
YBR235W	NA	NA	NA	NA	NA
YBR236C	ABD1	75.0	21.76	75.0	23.19
YBR237W	PRP5	68.0	21.64	51.5	22.49
YBR238C	NA	NA	NA	NA	NA
YBR239C	NA	NA	NA	NA	NA
YBR241C	NA	101.5	21.95	99.5	22.63
YBR242W	NA	77.0	21.77	NA	NA
YBR244W	GPX2	462.5	29.86	213.2	25.06
YBR245C	ISW1	208.5	24.01	170.5	25.02
YBR247C	ENP1	402.0	28.34	NA	NA
YBR248C	HIS7	600.0	33.57	1090.5	54.62
YBR249C	ARO4	1945.5	76.18	3767.5	157.87
YBR251W	MRPS5	67.5	21.64	106.5	23.79
YBR252W	DUT1	182.0	23.53	173.2	24.23
YBR253W	SRB6	92.0	21.80	49.7	21.75
YBR254C	TRS20	63.5	21.41	NA	NA
YBR255W	NA	NA	NA	NA	NA
YBR256C	RIB5	NA	NA	NA	NA
YBR258C	SHG1	NA	NA	135.2	23.30
YBR259W	NA	NA	NA	NA	NA
YBR260C	RGD1	113.0	22.31	108.5	23.63
YBR261C	NA	NA	NA	59.5	22.82
YBR262C	FMP51	177.5	23.19	152.8	23.69
YBR263W	SHM1	202.5	23.65	228.0	26.43
YBR264C	YPT10	NA	NA	NA	NA
YBR265W	TSC10	109.0	22.06	76.0	22.19
YBR267W	REI1	451.5	29.58	313.5	29.14
YBR268W	MRPL37	108.0	22.04	202.7	24.82
YBR269C	FMP21	53.0	21.44	150.6	23.69
YBR271W	NA	NA	NA	NA	NA
YBR272C	HSM3	56.0	21.48	NA	NA
YBR273C	UBX7	NA	NA	NA	NA
YBR274W	CHK1	NA	NA	NA	NA
YBR275C	RIF1	NA	NA	NA	NA
YBR278W	DPB3	NA	NA	NA	NA
YBR279W	PAF1	282.5	25.54	197.0	25.91
YBR281C	NA	NA	NA	NA	NA
YBR282W	MRPL27	86.0	21.90	114.2	22.96
YBR283C	SSH1	1496.0	61.31	947.5	48.45
YBR286W	APE3	NA	NA	NA	NA
YBR287W	ZSP1	186.5	23.59	78.5	22.27
YBR288C	APM3	63.0	21.57	56.0	22.53
YBR289W	SNF5	NA	NA	52.5	22.49
YBR290W	BSD2	137.0	22.71	87.5	22.40
YBR291C	CTP1	NA	NA	199.0	24.70
YBR296C	PHO89	NA	NA	NA	NA
YBR302C	COS2	NA	NA	NA	NA
YCL001W	RER1	206.0	23.72	91.5	22.47
YCL005W	NA	NA	NA	NA	NA
YCL009C	ILV6	528.0	31.59	1045.0	54.02
YCL010C	SGF29	106.5	22.21	79.0	23.24
YCL011C	GBP2	85.5	21.89	74.5	23.14
YCL014W	BUD3	NA	NA	NA	NA
YCL016C	DCC1	NA	NA	NA	NA
YCL017C	NFS1	537.5	31.86	548.5	35.96
YCL024W	KCC4	NA	NA	NA	NA
YCL025C	AGP1	550.0	31.91	3035.5	126.60
YCL026C-A	FRM2	NA	NA	NA	NA
YCL027C-A	NA	NA	NA	NA	NA
YCL027W	FUS1	NA	NA	NA	NA
YCL028W	RNQ1	259.5	25.05	244.5	27.15
YCL029C	BIK1	NA	NA	NA	NA
YCL030C	HIS4	2089.0	80.94	9750.0	392.52
YCL031C	RRP7	339.0	26.83	353.0	30.30
YCL032W	STE50	NA	NA	NA	NA
YCL034W	LSB5	NA	NA	69.5	23.09
YCL035C	GRX1	506.0	30.67	515.8	33.70
YCL037C	SRO9	3260.0	120.55	1998.0	89.53
YCL039W	GID7	NA	NA	NA	NA
YCL040W	GLK1	145.5	22.85	332.5	29.37
YCL043C	PDI1	407.0	28.45	220.0	26.17
YCL044C	NA	NA	NA	NA	NA
YCL045C	NA	525.0	31.19	346.7	28.56
YCL050C	APA1	1060.0	47.37	592.5	37.86
YCL052C	PBN1	83.5	21.69	65.5	22.01
YCL055W	KAR4	123.0	22.47	83.0	23.28
YCL056C	NA	NA	NA	NA	NA
YCL057W	PRD1	395.0	28.16	369.0	30.31
YCL059C	KRR1	376.0	27.70	210.0	25.23
YCL061C	MRC1	NA	NA	NA	NA
YCL064C	CHA1	1002.5	45.52	NA	NA
YCR002C	CDC10	533.5	31.81	345.5	30.02
YCR003W	MRPL32	202.5	23.92	311.4	27.67
YCR004C	YCP4	603.5	33.70	720.5	42.33
YCR005C	CIT2	NA	NA	168.0	24.90
YCR009C	RVS161	743.5	37.67	700.5	41.54
YCR011C	ADP1	207.5	23.99	183.2	24.54
YCR012W	PGK1	42839.5	1490.41	35610.5	1394.72
YCR016W	NA	163.5	23.17	99.5	23.65
YCR017C	CWH43	83.5	21.86	107.2	22.87
YCR018C	SRD1	NA	NA	NA	NA
YCR018C-A	NA	744.0	37.69	453.5	31.98
YCR020C	PET18	NA	NA	NA	NA
YCR020W-B	HTL1	297.5	25.88	272.3	26.62
YCR021C	HSP30	64.5	21.47	NA	NA
YCR023C	NA	NA	NA	NA	NA
YCR024C	NA	NA	NA	NA	NA
YCR024C-A	PMP1	6641.5	236.45	4041.0	166.96
YCR027C	RHB1	80.0	21.64	NA	NA
YCR028C	FEN2	167.0	23.01	100.5	22.64
YCR028C-A	RIM1	435.0	29.17	453.9	31.69
YCR030C	SYP1	192.5	23.70	323.5	29.06
YCR033W	SNT1	NA	NA	NA	NA
YCR034W	FEN1	1437.0	59.00	804.0	43.21
YCR035C	RRP43	234.0	24.52	177.5	25.46
YCR036W	RBK1	156.0	23.03	311.0	29.07
YCR037C	PHO87	NA	NA	52.5	21.80
YCR038C	BUD5	NA	NA	NA	NA
YCR042C	TAF2	NA	NA	NA	NA
YCR043C	NA	332.0	26.67	202.9	24.86
YCR044C	PER1	142.0	22.79	144.5	23.52
YCR046C	IMG1	161.0	23.12	189.9	24.53
YCR047C	BUD23	188.5	23.63	110.0	23.84
YCR048W	ARE1	NA	NA	NA	NA
YCR051W	NA	106.5	22.21	88.0	23.44
YCR053W	THR4	3806.5	139.18	3691.5	153.37
YCR054C	CTR86	90.0	21.96	51.5	22.44
YCR057C	PWP2	503.0	30.98	259.0	27.28
YCR059C	YIH1	144.5	22.83	135.5	24.51
YCR060W	TAH1	75.5	21.57	NA	NA
YCR061W	NA	NA	NA	NA	NA
YCR063W	BUD31	186.5	23.59	152.5	23.64
YCR065W	HCM1	56.5	21.48	NA	NA
YCR067C	SED4	82.0	21.84	NA	NA
YCR069W	CPR4	68.0	21.47	NA	NA
YCR071C	IMG2	115.5	22.35	90.6	22.47
YCR073W-A	SOL2	NA	NA	NA	NA
YCR077C	PAT1	302.5	25.98	295.5	28.23
YCR079W	NA	NA	NA	NA	NA
YCR081W	SRB8	NA	NA	NA	NA
YCR082W	AHC2	NA	NA	50.0	21.76
YCR083W	TRX3	NA	NA	NA	NA
YCR084C	TUP1	NA	NA	160.0	24.76
YCR086W	CSM1	NA	NA	NA	NA
YCR087C-A	NA	92.0	21.99	NA	NA
YCR088W	ABP1	1065.0	47.47	931.5	49.10
YCR090C	NA	125.5	22.51	86.6	22.36
YCR092C	MSH3	NA	NA	NA	NA
YCR093W	CDC39	444.5	29.44	382.5	32.18
YCR094W	CDC50	78.5	21.79	NA	NA
YCR095C	NA	53.0	21.44	NA	NA
YDL001W	RMD1	NA	NA	NA	NA
YDL002C	NHP10	115.5	22.35	74.0	22.40
YDL003W	MCD1	138.5	22.74	58.5	22.48
YDL005C	MED2	74.5	21.73	84.0	23.33
YDL008W	APC11	133.0	22.64	111.6	22.85
YDL010W	NA	50.5	21.40	NA	NA
YDL012C	NA	59.5	21.54	NA	NA
