orf	norm	dens	count	len	total
YER023W_5_utr	0.000	0.000	0	11	1698134
YER024W	1.911	3.244	9	2774	1698134
YER024W_3_utr	0.000	0.000	0	100	1698134
YER025W	402.489	683.480	1084	1586	1698134
YER025W_3_utr	2.375	4.032	1	248	1698134
YER025W_5_utr	0.000	0.000	0	29	1698134
YER026C	127.956	217.287	181	833	1698134
YER026C_3_utr	0.000	0.000	0	91	1698134
YER026C_5_utr	0.000	0.000	0	51	1698134
YER027C	80.643	136.943	172	1256	1698134
YER027C_3_utr	0.000	0.000	0	6	1698134
YER027C_5_utr	0.000	0.000	0	92	1698134
YER028C	7.442	12.637	15	1187	1698134
YER028C_5_utr	0.000	0.000	0	183	1698134
YER029C	70.507	119.730	71	593	1698134
YER029C_3_utr	0.000	0.000	0	76	1698134
YER029C_5_utr	0.000	0.000	0	37	1698134
YER030W	175.142	297.414	138	464	1698134
YER030W_3_utr	0.000	0.000	0	112	1698134
YER030W_5_utr	49.073	83.333	2	24	1698134
YER031C	213.186	362.018	244	674	1698134
YER031C_3_utr	0.000	0.000	0	102	1698134
YER031C_5_utr	0.000	0.000	0	8	1698134
YER032W	13.196	22.408	59	2633	1698134
YER032W_5_utr	0.000	0.000	0	26	1698134
YER033C	4.007	6.805	22	3233	1698134
YER033C_3_utr	0.000	0.000	0	130	1698134
YER034W	29.444	50.000	28	560	1698134
YER035W	74.949	127.273	56	440	1698134
YER035W_3_utr	0.000	0.000	0	124	1698134
YER036C	252.882	429.428	788	1835	1698134
YER036C_3_utr	0.000	0.000	0	70	1698134
YER036C_5_utr	0.000	0.000	0	7	1698134
YER037W	11.559	19.628	19	968	1698134
YER037W_3_utr	0.000	0.000	0	207	1698134
YER038C	7.166	12.169	17	1397	1698134
YER038C_3_utr	0.000	0.000	0	563	1698134
YER039C	0.000	0.000	0	752	1698134
YER039C-A	0.000	0.000	0	221	1698134
YER040W	15.024	25.513	56	2195	1698134
YER040W_3_utr	0.000	0.000	0	242	1698134
YER040W_5_utr	0.000	0.000	0	55	1698134
YER041W	1.548	2.629	6	2282	1698134
YER041W_5_utr	17.320	29.412	1	34	1698134
YER042W	143.784	244.165	136	557	1698134
YER042W_3_utr	0.000	0.000	0	150	1698134
YER043C	1061.903	1803.254	2438	1352	1698134
YER043C_3_utr	3.290	5.587	1	179	1698134
YER044C	91.808	155.902	70	449	1698134
YER044C-A	1.947	3.306	4	1210	1698134
YER044C_3_utr	0.000	0.000	0	87	1698134
YER044C_5_utr	0.000	0.000	0	55	1698134
YER045C	7.201	12.228	18	1472	1698134
YER045C_3_utr	0.000	0.000	0	102	1698134
YER045C_5_utr	0.000	0.000	0	76	1698134
YER046W	9.498	16.129	7	434	1698134
YER046W_3_utr	0.000	0.000	0	60	1698134
YER046W_5_utr	6.847	11.628	1	86	1698134
YER047C	11.140	18.917	51	2696	1698134
YER048C	156.968	266.553	314	1178	1698134
YER048C_3_utr	0.000	0.000	0	88	1698134
YER048C_5_utr	11.778	20.000	1	50	1698134
YER048W-A	318.037	540.070	155	287	1698134
YER048W-A_3_utr	0.000	0.000	0	318	1698134
YER048W-A_5_utr	11.111	18.868	1	53	1698134
YER049W	78.436	133.196	258	1937	1698134
