# Downloaded from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM346117, 2/14/2009
orf	norm	dens	count	len	total
YAR028W_5primeutr	61.760	218.750	7	32	3541965
YAR029W	58.456	207.048	47	227	3541965
YAR035W	1.640	5.808	12	2066	3541965
YAR042W	12.261	43.430	155	3569	3541965
YAR042W_3primeutr	20.567	72.848	11	151	3541965
YAR071W_3primeutr	221.285	783.784	29	37	3541965
YBL001C	347.345	1230.284	390	317	3541965
YBL001C_3primeutr	325.764	1153.846	30	26	3541965
YBL001C_5primeutr	119.447	423.077	22	52	3541965
YBL002W	1224.372	4336.683	1726	398	3541965
YBL002W_3primeutr	940.028	3329.545	586	176	3541965
YBL002W_5primeutr	881.209	3121.212	103	33	3541965
YBL003C_3primeutr	3702.121	13112.782	1744	133	3541965
YBL003C_5primeutr	1261.838	4469.388	219	49	3541965
YBL004W	28.633	101.416	759	7484	3541965
YBL004W_3primeutr	18.413	65.217	3	46	3541965
YBL004W_5primeutr	18.822	66.667	5	75	3541965
YBL005W	13.669	48.415	142	2933	3541965
YBL005W_3primeutr	16.493	58.419	17	291	3541965
YBL005W_5primeutr	47.055	166.667	4	24	3541965
YBL006C	282.329	1000.000	545	545	3541965
YBL006C_3primeutr	397.647	1408.451	200	142	3541965
YBL006C_5primeutr	564.658	2000.000	2	1	3541965
YBL007C	31.882	112.925	422	3737	3541965
YBL007C_3primeutr	69.014	244.444	11	45	3541965
YBL008W	30.301	107.327	271	2525	3541965
YBL008W-A	4.667	16.529	4	242	3541965
YBL009W	18.054	63.945	130	2033	3541965
YBL009W_3primeutr	15.685	55.556	6	108	3541965
YBL009W_5primeutr	15.685	55.556	1	18	3541965
YBL010C	54.795	194.083	164	845	3541965
YBL010C_3primeutr	27.884	98.765	24	243	3541965
YBL011W	35.631	126.205	288	2282	3541965
YBL011W_3primeutr	29.409	104.167	20	192	3541965
YBL013W	3.506	12.417	15	1208	3541965
YBL014C	34.989	123.930	333	2687	3541965
YBL014C_3primeutr	21.718	76.923	6	78	3541965
YBL015W	26.396	93.493	148	1583	3541965
YBL015W_3primeutr	33.434	118.421	27	228	3541965
YBL015W_5primeutr	27.322	96.774	6	62	3541965
YBL016W	72.440	256.579	273	1064	3541965
YBL016W_3primeutr	82.752	293.103	34	116	3541965
YBL016W_5primeutr	26.888	95.238	20	210	3541965
YBL017C	38.521	136.440	647	4742	3541965
YBL017C_3primeutr	34.222	121.212	4	33	3541965
YBL017C_5primeutr	33.611	119.048	20	168	3541965
YBL018C	208.997	740.260	285	385	3541965
YBL018C_3primeutr	243.830	863.636	19	22	3541965
YBL018C_5primeutr	100.832	357.143	5	14	3541965
YBL018C_intron	25.283	89.552	6	67	3541965
YBL019W	31.751	112.460	176	1565	3541965
YBL020W	78.797	279.097	482	1727	3541965
YBL020W_3primeutr	61.760	218.750	14	64	3541965
YBL020W_5primeutr	35.788	126.761	18	142	3541965
YBL021C	113.061	400.458	175	437	3541965
YBL021C_3primeutr	161.609	572.414	83	145	3541965
YBL022C	33.176	117.509	400	3404	3541965
YBL022C_3primeutr	91.921	325.581	14	43	3541965
YBL022C_5primeutr	26.195	92.784	9	97	3541965
YBL023C	29.434	104.255	272	2609	3541965
