#gene ID (SGD database)	Initial_Footprint_1_rpkm	5min_Footprint_1_rpkm	30min_Footprint_1_rpkm	Initial_Footprint_2_rpkm	5min_Footprint_2_rpkm	30min_Footprint_2_rpkm	Initial_mRNA_1_rpkm	5min_mRNA_1_rpkm	30min_mRNA_1_rpkm	5min_mRNA_2_rpkm	30min_mRNA_2_rpkm
orf	rdens.init.rpkm1	rdens.5min.rpkm1	rdens.30min.rpkm1	rdens.init.rpkm2	rdens.5min.rpkm2	rdens.30min.rpkm2	mrna.init.rpkm1	mrna.5min.rpkm1	mrna.30min.rpkm1	mrna.5min.rpkm2	mrna.30min.rpkm2
YAR042W	17.52119677	16.09416066	30.47466115	18.37103746	19.15819427	29.69310692	11.74228188	13.30143936	31.24428143	21.10062396	39.65949438
YAR047C	0.178834567	0	0	0	0	0	2.622211641	1.03815966	0.743783765	0.364963623	0.937708416
YBL001C	291.1792737	385.2900181	548.7688567	311.9770349	291.1294072	550.3244809	427.8931054	289.9930008	628.4523082	336.133194	510.6138529
YBL004W	33.38152385	26.96053686	1.850103341	28.44962262	29.06785785	1.126873753	12.97261239	14.04820438	1.885286636	14.69569386	2.126516143
YBL005W	16.1803275	16.35248052	21.70914267	11.73104246	12.61920097	13.59882873	23.66003378	26.86581912	38.32154713	20.14287219	34.58772768
YBL006C	36.39989895	40.69059277	47.95698021	29.57822222	21.5454408	30.08940185	123.7288294	104.6174346	152.7499036	99.77429892	115.779472
YBL007C	83.40485058	49.34196131	69.82150891	76.56394825	55.10383069	75.39448431	31.31366752	32.48989914	92.41545674	49.41486969	104.7427395
YBL008W	12.42926073	8.521620483	9.472606311	9.538941109	7.054913474	9.748809774	16.46286443	16.16827627	23.02035821	18.40829518	19.45754638
YBL008W-A	1.411515689	3.511545311	6.774535151	1.616786016	6.933145477	11.66061598	0	4.097022944	7.827438667	5.185090326	4.81077907
YBL009W	18.64574946	17.73654683	11.19850658	18.26012769	17.73978057	7.211712783	20.58241498	19.57490092	11.23648886	23.93394015	12.36854883
YBL010C	18.08563844	16.87243171	27.06166935	16.17994918	16.60191296	22.3918763	23.07375665	20.53474219	32.44752502	25.83628079	32.28436684
YBL011W	21.17532528	16.80065027	26.27773818	20.71991212	12.72048442	24.46450257	41.46943511	34.36237042	70.32486868	38.62654445	66.54288622
YBL013W	3.573457441	2.000247329	5.488231008	3.763404861	2.340302271	5.185348219	3.27480093	1.400248348	4.70637135	3.281702738	4.871675008
