Threshold +/-1.5 for log2(TE change) was used in the manuscript. Refer to the fig. S2b if you like to select a different threshold.
gene_name 5 min	5 min log2(TE change)	gene_name 30 min	30 min log2(TE change)
YOR159C	0.69467054	YNL015W	0.859359652
YMR239C	0.69251135	YBL028C	0.85508368
YCR020C-A	0.690484761	YOR147W	0.85443202
YPL250C	0.689572316	YMR138W	0.853400234
YMR174C	0.689434031	YDL110C	0.850511223
YDR101C	0.688687958	YJL006C	0.849369689
YOL080C	0.688461549	YLR376C	0.848436542
YER042W	0.686971329	YLR224W	0.845699488
YPR025C	0.685103345	YBR013C	0.845554528
YAL039C	0.684690885	YOR205C	0.845377559
YDR382W	0.684526051	YIL002W-A	0.843568182
YFL017W-A	0.684311046	YBR085C-A	0.842429643
YPL013C	0.684303969	YOR080W	0.839802582
YLR051C	0.681936686	YGR016W	0.838305788
YOR315W	0.68190584	YLR016C	0.836922138
YMR233W	0.681742935	YHR005C-A	0.834472879
YEL024W	0.679950745	YOR228C	0.834329148
YKL110C	0.679235704	YOR145C	0.834096172
YMR112C	0.679160636	YIR030C	0.83387808
YKL138C	0.678622859	YMR011W	0.832913664
YHR085W	0.678047514	YLR254C	0.825628487
YHR005C	0.676905511	YDR493W	0.822673049
YLR437C	0.673635809	YDR378C	0.819055475
YHR191C	0.672633526	YNL024C-A	0.817830845
YNL175C	0.672624802	YKL171W	0.816964564
YNL065W	0.67242039	YOL109W	0.816918762
YNL024C	0.671868393	YDR079C-A	0.814458005
YDR308C	0.671736077	YJR135C	0.813995121
YNL040W	0.671559346	YER042W	0.812617231
YBR162W-A	0.669296798	YPL250C	0.810528964
YJR100C	0.668796779	YBL031W	0.810060501
YIL104C	0.667787496	YOL039W	0.807560586
YHR167W	0.666630887	YPL213W	0.805885112
YOR295W	0.665764525	YGR168C	0.804533288
YGL191W	0.663680992	YMR180C	0.803298918
YBL054W	0.662715613	YPL135W	0.802692169
YDR115W	0.662250256	YKR017C	0.802169758
YOR286W	0.661012787	YDL030W	0.80081694
YKR066C	0.660939874	YBR291C	0.797626251
YKR004C	0.660497717	YDL076C	0.797213943
YER077C	0.660262918	YLR146W-A	0.796168457
YPL239W	0.658712433	YNL038W	0.795501677
YMR211W	0.658504678	YCL005W	0.794876568
YDL227C	0.657991149	YGR120C	0.794396478
YOR196C	0.657668062	YGL080W	0.792020157
YCR016W	0.656595054	YCR028C-A	0.791442105
YOR111W	0.654525528	YJR055W	0.791326696
YMR269W	0.653922328	YDR100W	0.791225533
YGR049W	0.650911714	YKL137W	0.790306298
YKR092C	0.648462091	YER146W	0.787596059
YGR209C	0.645487516	YHR209W	0.78377424
YER115C	0.643631635	YOR295W	0.783588052
YPR127W	0.64331448	YER092W	0.782726871
YOR051C	0.642915175	YDR363W	0.781606937
YCR072C	0.642825047	YLR052W	0.781578426
YLR242C	0.642457629	YJL131C	0.7804345
YDL076C	0.642339677	YMR282C	0.780103559
YOL144W	0.642227918	YNL147W	0.779131688
YLR355C	0.64140442	YEL020C	0.77808471
YDR299W	0.641390079	YPL225W	0.776872139
YPL252C	0.641003675	YLR094C	0.775490228
YIR024C	0.638346613	YNR045W	0.772886901
YDR005C	0.63548345	YOR130C	0.77086467
YKL167C	0.632829293	YCL002C	0.7688296
YPR106W	0.631308833	YOR101W	0.768761948
YJL189W	0.629799339	YGR169C	0.76746326
YDR374W-A	0.628389045	YGL085W	0.766225121
YOR004W	0.627668845	YKL138C	0.765132038
YNL282W	0.626942256	YDR441C	0.764406695
YNL153C	0.622736568	YCR095C	0.764081742
YNR020C	0.618077281	YIL152W	0.76347654
YPR170W-B	0.617743781	YFR032C-A	0.761641626
YLR412W	0.617734981	YDR142C	0.760152703
YBL001C	0.616183138	YBL025W	0.759927026
YER029C	0.615846015	YPL179W	0.75965144
YOR119C	0.615049841	YMR298W	0.758293737
YHR094C	0.614764178	YKR022C	0.757047854
YOR176W	0.613708372	YKL075C	0.75699125
YKL138C-A	0.613240381	YDL036C	0.756813433
YGR183C	0.60955561	YJL199C	0.756721292
YNL002C	0.609417595	YLR105C	0.756687317
YLL050C	0.608696356	YFL034C-A	0.755694436
YML097C	0.608601035	YNR020C	0.755591549
YDR179W-A	0.608018588	YOR210W	0.755531732
YBL064C	0.607577331	YOR334W	0.755168402
YLR009W	0.607087177	YKL011C	0.754332568
YKR068C	0.60444997	YKL052C	0.752630562
YDL036C	0.603360628	YDR131C	0.751966175
YCR086W	0.602784907	YOR115C	0.751853245
YLR363W-A	0.602726197	YKR085C	0.7507698
YLR433C	0.602662838	YMR114C	0.749524835
YJL122W	0.601875271	YOR234C	0.748391721
YDR498C	0.600831072	YMR097C	0.747596416
YGL068W	0.599437414	YOR226C	0.744266633
YKL052C	0.59898322	YJR063W	0.744012969
YNL050C	0.59761395	YKL051W	0.743276791
YLL011W	0.597387844	YJR141W	0.74085957
YOR056C	0.596811582	YGR183C	0.740672746
YPR140W	0.596367941	YGL114W	0.74021804
YDR386W	0.59479679	YDR115W	0.739809475
YDL219W	0.59318196	YJR034W	0.739293928
YER018C	0.592243955	YPR036W-A	0.738647371
YGR158C	0.591671476	YDL139C	0.738579013
YLR103C	0.591149996	YLR368W	0.738384324
YLR074C	0.590937213	YAL039C	0.738170368
YOR210W	0.590419549	YPR052C	0.736873506
YPL202C	0.588692874	YGL054C	0.735217959
YPL086C	0.588334431	YLR185W	0.733303035
YBR247C	0.587452619	YPL108W	0.732986746
YDL044C	0.587249226	YJL151C	0.732641737
YLR407W	0.582580856	YDR151C	0.732429946
YJL148W	0.581664707	YJL003W	0.730675431
YGL061C	0.581444619	YLR074C	0.73062535
