# Lee et al. "A dynamic model of proteome changes reveals new roles for transcript alteration in yeast" Molecular Systems Biology 7:514 (2011).
#Protein	Metrics	NA	NA	Quantitation	NA	NA	NA	NA	NA	NA	NA
#Protein	Probability Score	PSMs	Unique Peptides	"TMT-130 Intensity
#0 min"	"TMT-126 Intensity
#30 min"	"TMT-127 Intensity
#60 min"	"TMT-128 Intensity
#90 min"	"TMT-129 Intensity
#120 min"	"TMT-131 Intensity
#240 min"	Quantified PSMs	Quantified Unique Peptides
orf	probability.score	psms	unique.peptides	tmt.130.intensity.nacl.0min	tmt.126.intensity.nacl.30min	tmt.127.intensity.nacl.60min	tmt.128.intensity.nacl.90min	tmt.129.intensity.nacl.120min	tmt.131.intensity.nacl.240min	quantified.psms	quantified.unique.peptides
YDL040C	0	98	27	50866988.44	50480336.96	53354464.27	52127037.64	51297270.74	53396026.5	40	14
YHR042W	0	98	25	41343165.77	38933034.13	38291758.16	37263229.1	35346870.21	34273391.14	39	16
YDR238C	0	127	26	33983047	34553486.45	36744674.73	36394056.57	36455738.49	36494132.54	46	14
YBR126C	0	273	25	33816985.67	63075267.47	82940488.86	83504038.43	85686797.24	83148218.54	149	25
YGL173C	0	208	50	72929070.22	72938129.09	77283312.34	74173404.54	73242124.63	68028277.02	87	33
YKR001C	0	168	38	86451961.09	90839242.58	95275592.69	93233591.98	92184328.17	90386709.61	86	22
YBR031W	0	600	19	65789117.76	57687406.25	59845302.65	50271453.64	54491859.49	52156630.08	39	2
YHR174W	0	8912	51	2021699466	2026546115	1822745674	1821681699	1775176276	1812637183	2414	38
YCL030C	0	276	33	131222151.7	129781319.5	142529847.1	141771366.1	143493508.9	157320678.4	148	31
YPL090C	0	505	24	404463448.5	400838058.3	356279558.4	360997209.4	367238715.9	416401908	291	23
YGR234W	0	336	23	147743095.8	141551934.4	132532329.6	127294078.2	120315989	112234681.4	188	27
YBR127C	0	508	40	248787978.5	250061318.6	247465106	254994636.9	256806128.8	272161346.8	255	34
YER006W	0	103	24	54480926.5	53628712.24	51545905.76	49724312.74	48618580.02	45750126.07	41	19
YER073W	0	151	25	57831622.82	54883739.44	58227766.07	57487317.24	57268899.86	59125925.29	57	16
YDR150W	0	92	27	28998685.74	29427315.43	31059453.39	31100432.86	31453192.08	29419832.35	32	13
YKL104C	0	144	32	39984034.76	40083484.57	43704375.43	43818604.7	43900684.4	43629996.42	51	20
YGL105W	0	229	27	127262602.9	132433533.9	130996024	129559536.6	126653477.7	124719375.6	126	27
YFL004W	0	160	24	70866227.25	70908275.86	67046525.02	65525606.5	65543393.16	61197419.61	72	17
YBL024W	0	155	27	51583372.45	49783765.86	49149145.97	48893110.58	48622427.59	48270921.45	57	18
YGL009C	0	607	52	264152336.3	274221488	268207284.7	269737367.2	261825136.6	260677451.8	285	52
YFL022C	0	196	25	67315161.85	65081004.92	67169217.88	66749849.71	66435742.55	66619726.31	87	18
YGL062W	0	209	40	8336938.903	8964917.697	8569677.63	8472756.108	8253679.507	7056867.816	16	6
YLR106C	0	87	40	15644641.12	14924541.38	14615918.41	13740743.61	13363411.23	12806888.12	30	17
YLR355C	0	1437	34	755913747.4	714031174.1	740446830	722097414	720567578.8	674113971.2	737	33
YER110C	0	342	40	196018207	179526628.7	182259910.1	177083251.7	172724372.9	175180686.5	190	36
YNL104C	0	125	26	40966403.5	44935637.07	46956233.3	47115889.81	51338867.37	59885052.24	30	11
YMR217W	0	341	41	179553179.6	173975973.6	161811753.8	158725493.9	152239193.7	145849403.3	168	39
YPL131W	0	1403	23	218943529.5	204836670	202700858.7	204836194	200060679.5	209364847.2	680	30
YER103W	0	695	33	23958026.01	29964069.34	30331828.86	28781568.81	26938430.16	28429812.38	38	10
YDL171C	0	185	48	55606092.01	56669915.92	53764250.52	53266661.23	56552892.83	64314397.29	70	24
YLR197W	0	264	30	195716350	181291664.3	182967171	177775392.9	171048689	171433365.4	158	23
YIL125W	0	89	26	27713762.46	26642928.05	31846083.96	32426814.42	32991813.88	32108946.52	35	14
YER036C	0	220	34	119165163.8	116098717.8	112131631.1	112173665	110959933.3	120603016.7	113	24
YNL247W	0	213	34	103016017.8	100380246.4	98517994.83	103439404.7	103476644.3	106336290.3	96	21
YHR027C	0	182	26	42897865.66	44444924.13	47953736.95	48393646.88	46630124.76	42184180.68	69	22
YKL035W	0	194	26	66132912.84	97574924.49	118841052	120815575.2	129822751.7	144292722	91	23
YGR162W	0	122	29	48202365.45	51180741.06	48221279.57	45913697.47	44300957.95	42654819.63	46	18
YPL231W	0	838	100	536611339.4	531606499.7	519387871.4	515216144.9	514051972.4	493488774	461	92
YCL043C	0	350	31	146507771.9	145027897.4	148602792.8	160676402.4	163509735.8	168679276.3	161	24
YJL034W	0	373	47	237210534.4	233608623.6	227440336.1	221551985.5	217115008	201148841.9	166	38
YPL226W	0	324	53	129870676.9	120301664.4	120057369.7	123553054.3	120720499.9	120653676.2	155	43
YDL022W	0	212	24	21634962.24	63930421.32	77174268.37	76789910.64	77542255.59	79343051.28	86	17
YGL202W	0	173	27	77484474.83	77778449.01	83013778.89	87428695.85	90791003.45	98806094.12	69	24
YOR204W	0	289	27	151271617.7	151608952.3	159626037.5	160780163.4	160802104.7	163232114.1	152	21
YER091C	0	593	50	519634989.2	487062914.7	463968679.1	482003444.4	463536422.1	409984932.3	327	49
YPR158C-D	0	644	52	3511634.512	2518198.712	2401108.808	2280187.378	1894598.043	1949112.659	17	3
YDR074W	0	177	34	29684327.36	77650635.83	98044046.3	92642195.58	94445143.78	85240882.58	82	22
YOR063W	0	2100	33	702969801.5	658333614.8	600166179.1	600782193.4	605690468.2	632107758.8	1044	42
YNL064C	0	262	23	137978930.2	133872255.5	135411002.9	127644463.7	121607999.9	115462316.4	133	23
YHR020W	0	350	36	254358545.6	246543817.6	237062084.3	244666191.3	240566671.1	244092859.8	229	33
YLR150W	0	528	31	235821223.8	232971739.6	226044867.4	221954970.8	220476837.1	216128032.5	321	25
YOR153W	0	356	40	78422073.99	80658671.17	83870154.72	88027087.67	87505820.35	87861266.2	110	26
YMR309C	0	129	23	78056490.61	76102096.9	77139254.2	78227667.54	78340800.36	74715391.46	63	17
YCR088W	0	175	27	62282304.34	65380519.9	69559696.89	73895651.54	74982342.91	74176099.58	75	21
