orf sd.mrna sd.prot mean.mrna mean.prot
YAL015C 0.289672712176346 0.354752846197047 0.00514093260452274 -0.273383981218322
YAL016W 0.247934639049486 0.240515177378497 1.00204289747906 1.25899801068087
YAL017W 0.25256804281841 0.280187681070455 -0.0388768411541041 -0.0325864832780562
YAL018C 0.352304708905065 0.424458021593631 -1.72588161207338 -1.74381673551413
YAL019W 0.244093166982361 0.220610705678951 0.188355748912796 0.459785110584896
YAL020C 0.266528421916976 0.391726195306655 -0.400284842246269 -0.52189655793663
YAL021C 0.239302354859861 0.218621935990893 0.474322338160749 0.698642632811826
YAL022C 0.255666046164589 0.26509726721197 0.164897964492699 -0.215307801189934
YAL023C 0.226271165536486 0.23807620579881 0.964719790720734 0.588746567081796
YAL024C 0.294693078795314 0.311684858109475 -0.637743778907328 -0.544955636011418
YAL025C 0.263616154843694 0.377352076383842 0.543303719729312 0.131987900578111
YAL026C 0.281407224535079 0.245920277659581 -0.0349354923860952 0.260174671759109
YAL027W 0.236467212637494 0.299254944789568 -0.413915212205499 -0.418398007376079
YAL028W 0.240646470953231 0.39064821874936 -0.55250218790645 -0.792594978298088
YAL029C 0.245398082292271 0.226693433126127 0.376656784292622 0.437564437934263
YAL030W 0.249594397549796 0.35894623730328 0.464718044970597 0.197551176848131
YAL031C 0.234721038708073 0.314047346738055 -0.390841077233013 -0.510704609614997
YAL032C 0.275565946066788 0.256825744228347 -0.328036443378769 -0.00514671320262314
YAL033W 0.27514280166031 0.249897578179036 0.418740001644264 0.526748459860967
YAL034C 0.267483170131099 0.441236935803556 -0.403934312594157 -0.707067036954377
YAL034W-A 0.255184367032066 0.230547542710527 -0.243031288844164 0.106075384338439
YAL035W 0.24107155500379 0.23846446472808 1.4767325267623 1.62139481422253
YAL036C 0.246328183666534 0.25622607983717 1.11407264461688 1.20219335958851
YAL037C-A 0.300283980102769 0.407799163161138 -1.10837843998378 -1.23552223061713
YAL037W 0.276268999542129 0.344623049508245 -1.14307491491909 -1.26599623524327
YAL038W 0.257423889535737 0.249946866101358 3.20819599559119 2.7930810232254
YAL039C 0.264790281928761 0.265092455119324 0.319539342321953 0.320251539257627
YAL040C 0.251086649358376 0.37194017676218 0.31024962493369 -0.227531461175072
YAL041W 0.24727886368069 0.226112729130348 0.143103122710822 0.259189901084297
YAL042W 0.301350433650309 0.34200324404431 0.762504132475423 0.341913133177155
YAL043C 0.252416361678206 0.21779956962708 0.0851984428238448 0.389216526771889
YAL044C 0.274746876635311 0.210673263015994 1.31019019730951 1.12500430153446
YAL044W-A 0.293429362018323 0.285119242692263 -0.42355395766096 -0.433194797875734
YAL046C 0.227996293008202 0.254104982006368 0.0242611285751634 -0.220256229721956
YAL047C 0.25543244494036 0.318611538178165 -0.715789151834116 -0.483635035836849
YAL048C 0.301597101193531 0.376293423978558 -0.864215003568672 -0.891006369045539
YAL049C 0.246484846473521 0.343918485354141 0.617308338566831 0.443306534039607
YAL051W 0.238920277444325 0.324382197184932 -0.44771246455061 -0.559601682342594
YAL053W 0.245252372347862 0.317470547664023 0.307404104224907 0.0200153503202862
YAL054C 0.260115122429983 0.29943297134398 -0.507216298592522 -0.161636047009338
YAL055W 0.293683094161438 0.328167869448047 -0.241075235681331 -0.542123954302888
YAL056W 0.289396646813158 0.333796611590919 -0.1023242731919 -0.308706349370399
YAL058W 0.244911936323573 0.285928430665397 -0.0229256174801559 0.172699115659746
YAL059W 0.21603532153212 0.216513691048081 0.611131923261572 0.610119516074237
YAL060W 0.229281818157487 0.216089958235183 0.735338794060107 1.04299903814121
YAL061W 0.253235567098234 0.25333412847577 -0.188704957520278 0.0388394488756607
YAL062W 0.269601792172876 0.389536651289504 -0.470979880133736 -0.458338800414023
YAL063C 0.305073212744228 0.398030883484796 -1.37856661927438 -1.52582320716404
YAL063C-A 0.382754230840446 0.482664772561695 -2.30431300740967 -2.25718383108505
YAL064C-A 0.342398660035401 0.401912291125039 -2.28029356772482 -2.22314658215478
YAL064W 0.362906343002458 0.475336403114136 -2.08846451677682 -2.05046033379399
YAL064W-B 0.323199000871353 0.375183700472326 -1.60997693026497 -1.61886126235596
YAL065C 0.332545392225738 0.459705322157834 -1.62295913872771 -1.64480527204997
YAL067C 0.33563044216643 0.488912954077273 -1.72865819124015 -1.75169160054146
YAL067W-A 0.472202683231507 0.57495467051576 -3.90255583028054 -3.59776814839153
YAL068C 0.277028535859081 0.353178733143521 -1.20348779000293 -1.33592685349618
YAR002C-A 0.260105707286817 0.227602142175715 0.983084711626289 1.29617542529012
YAR002W 0.266274429923265 0.246630671968088 0.547350909822124 0.648466500742541
YAR003W 0.247616854790443 0.307055133543497 -0.221694167915899 -0.241396006576055
YAR007C 0.300906652696233 0.313000317817284 0.269411893411405 0.402639209430193
YAR008W 0.289561686801971 0.360912268020206 -0.174813572773843 -0.336417812760627
YAR009C 0.251949167049336 0.23750875412858 0.210924583397234 0.0934357004581066
YAR010C 0.278921777585923 0.351558688281096 -0.13386886571066 -0.297289447733078
YAR014C 0.268673283831235 0.241246973290305 0.0820061461771427 0.278709719325098
YAR015W 0.228998577144716 0.25246405266043 1.44173121951444 1.41454697338429
YAR018C 0.291343111852615 0.34141037430243 -0.251635824063858 -0.363780400345048
YAR019C 0.26561391961503 0.347347808873653 -0.635514454142685 -0.661447423520892
YAR020C 0.336410819920833 0.406404485022807 -0.495852417378375 -0.726186818747722
YAR023C 0.285488338286918 0.416807149908395 -0.483136829581803 -0.740592745743784
YAR027W 0.24515192903714 0.286072980739884 0.0885008185046087 0.116080716752521
YAR028W 0.229697679683702 0.225147267515814 -0.220436133445573 0.170910717294241
YAR029W 0.272460686092945 0.412046516842682 -1.14712671510913 -1.34569245128469
YAR031W 0.260854655717977 0.277758435733228 -0.937739840722678 -0.777068324032957
YAR033W 0.289789774392089 0.386468485797836 -0.803867004644888 -0.862932107588696
YAR035C-A 0.405102458458443 0.504434529194465 -2.98161556895005 -2.76264953775214
YAR035W 0.278217275731999 0.365087545067262 -1.12364708827061 -1.00924197674216
YAR042W 0.251753533394241 0.291374239274382 -0.310647023759603 -0.265497924882239
YAR050W 0.28043285405813 0.395427600889963 -1.55140364109273 -1.46258176156725
YAR064W 0.284715490738102 0.317810198050036 -1.16304498389235 -0.780247608918808
YAR066W 0.321278240967899 0.399582938091529 -1.44833578670239 -1.53340060406886
YAR068W 0.26530752053882 0.342980676088696 -0.95746517325685 -1.14106685108167
YAR071W 0.25424962802035 0.236255139656889 0.491689639031729 0.260716248586578
YBL001C 0.251052177496319 0.292447580104339 0.857237892566815 0.508788446410907
YBL002W 0.276650669674249 0.240505920816076 2.17456822289192 2.27677709527854
YBL003C 0.235223594694369 0.22470581710942 1.89180018171161 1.79781443057851
YBL004W 0.25261293339085 0.258697103264337 0.30257041576543 0.52787271985373
YBL005W 0.280171862117675 0.307171097561342 -0.407996456251557 -0.666969851988727
YBL005W-A 0.310437329335156 0.429616572287713 -1.72505056013385 -1.51991184710125
YBL005W-B 0.328475207119687 0.405789640051788 -0.283554535181976 -0.41138786151493
YBL006C 0.296507004474244 0.356063857609947 0.617784463346655 0.124112448581556
YBL007C 0.266502634568606 0.238749705313802 0.80529252521282 0.882911006268525
YBL008W 0.253821719766519 0.281726450762451 -0.381547722898746 -0.242870772080094
YBL008W-A 0.368685908658916 0.482849227531023 -2.48578024652918 -2.38710893991838
YBL009W 0.267944890042131 0.384017883630057 -0.376903612124463 -0.549675451437918
YBL010C 0.234731538102337 0.307639946776075 -0.422330582529299 -0.299232050498474
YBL011W 0.231534123210381 0.236014550525437 0.321654698480594 0.407764290897179
YBL013W 0.28872573473705 0.272514552378734 -0.860222582142557 -0.530543028816657
YBL014C 0.27060690785194 0.329213784699214 -0.350808656016686 -0.610946088167801
YBL015W 0.264600249437656 0.215389543196261 0.295125643088271 0.51253922626438
